a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,class
A14,bin0,A33,A43,bin0,A61,A73,3,A92,A101,2,A121,bin0,A143,A152,1,A173,1,A191,A201,1
A12,bin0,A34,A42,bin2,A61,A74,4,A93,A101,3,A123,bin2,A143,A151,1,A173,1,A192,A201,1
A14,bin0,A32,A41,bin2,A65,A72,2,A94,A101,4,A123,bin0,A143,A151,1,A173,1,A192,A201,1
A12,bin2,A34,A410,bin4,A61,A73,2,A93,A102,3,A123,bin3,A143,A152,2,A174,2,A192,A201,2
A14,bin2,A31,A40,bin4,A61,A75,2,A93,A101,4,A124,bin3,A141,A152,2,A174,2,A192,A201,2
A12,bin0,A32,A40,bin4,A61,A74,2,A93,A101,2,A123,bin2,A143,A152,1,A173,1,A191,A201,1
A11,bin2,A32,A42,bin4,A65,A72,1,A92,A101,2,A122,bin1,A143,A152,1,A173,1,A192,A202,1
A12,bin1,A32,A49,bin1,A63,A75,1,A94,A101,2,A121,bin2,A143,A152,1,A173,1,A192,A201,1
A12,bin0,A33,A49,bin1,A62,A75,1,A91,A101,2,A123,bin2,A141,A152,2,A173,2,A191,A201,1
A13,bin1,A32,A46,bin0,A61,A72,4,A92,A101,4,A122,bin0,A143,A151,1,A173,1,A192,A201,1
A12,bin2,A32,A40,bin4,A61,A74,3,A93,A101,3,A121,bin1,A143,A151,1,A172,1,A191,A201,1
A14,bin4,A34,A40,bin4,A61,A73,4,A92,A101,2,A121,bin0,A142,A152,2,A173,1,A192,A201,2
A11,bin0,A32,A43,bin1,A63,A75,3,A94,A101,1,A121,bin2,A143,A152,1,A173,1,A191,A201,1
A14,bin4,A34,A43,bin3,A65,A75,4,A93,A101,1,A121,bin4,A143,A152,1,A173,1,A192,A201,1
A11,bin4,A32,A43,bin4,A65,A74,4,A92,A101,3,A123,bin1,A143,A152,1,A174,1,A192,A201,2
A11,bin0,A34,A42,bin2,A65,A72,2,A92,A102,3,A121,bin1,A143,A151,2,A173,1,A191,A202,1
A11,bin4,A34,A42,bin3,A63,A73,1,A92,A101,4,A123,bin0,A143,A152,2,A173,1,A191,A201,2
A12,bin0,A34,A40,bin2,A63,A74,3,A91,A101,3,A123,bin2,A143,A152,1,A174,1,A192,A201,1
A11,bin2,A32,A43,bin1,A61,A73,3,A92,A101,2,A121,bin0,A143,A152,2,A173,1,A192,A201,2
A14,bin2,A34,A41,bin3,A61,A75,4,A92,A101,2,A123,bin3,A143,A151,2,A174,1,A192,A201,1
A14,bin0,A32,A42,bin1,A61,A73,3,A93,A101,2,A121,bin0,A143,A151,1,A172,1,A191,A201,1
A13,bin0,A34,A40,bin0,A61,A75,4,A93,A101,4,A124,bin4,A143,A153,2,A173,1,A192,A201,1
A12,bin2,A32,A42,bin2,A65,A72,4,A92,A101,3,A121,bin1,A143,A151,1,A173,1,A191,A201,2
A11,bin0,A34,A40,bin2,A61,A73,4,A93,A101,2,A122,bin1,A143,A152,2,A173,1,A191,A201,1
A11,bin0,A32,A43,bin0,A61,A73,4,A94,A101,2,A121,bin3,A143,A152,1,A172,1,A191,A201,1
A12,bin0,A32,A45,bin0,A61,A73,4,A93,A101,2,A123,bin1,A143,A152,1,A173,1,A191,A201,2
A12,bin0,A34,A41,bin1,A61,A71,4,A93,A101,2,A123,bin2,A143,A152,2,A174,1,A192,A201,1
A11,bin0,A34,A40,bin3,A61,A73,3,A92,A102,2,A121,bin1,A143,A152,2,A173,1,A191,A201,2
A12,bin4,A32,A40,bin4,A65,A74,1,A92,A101,2,A123,bin0,A143,A152,1,A173,1,A191,A201,1
A11,bin4,A33,A46,bin4,A61,A73,4,A93,A101,3,A122,bin1,A142,A152,1,A173,1,A192,A201,2
A14,bin1,A32,A42,bin2,A61,A72,2,A93,A101,3,A122,bin1,A141,A152,2,A172,1,A191,A201,1
A14,bin2,A32,A42,bin2,A61,A73,4,A93,A101,4,A124,bin4,A141,A153,2,A173,1,A191,A201,1
A14,bin4,A32,A43,bin4,A62,A74,2,A92,A101,4,A121,bin0,A143,A152,1,A173,1,A192,A201,1
A14,bin0,A34,A43,bin0,A65,A75,4,A92,A101,2,A121,bin3,A143,A152,2,A173,1,A192,A201,1
A14,bin3,A33,A41,bin4,A64,A73,2,A93,A101,2,A123,bin1,A143,A152,2,A173,1,A191,A201,1
A12,bin0,A32,A43,bin0,A63,A73,4,A93,A101,3,A121,bin4,A143,A152,1,A172,1,A191,A201,2
A12,bin1,A34,A43,bin2,A65,A74,4,A93,A103,2,A121,bin2,A141,A152,3,A173,1,A192,A201,1
A13,bin0,A32,A43,bin1,A61,A73,2,A92,A101,2,A123,bin3,A143,A151,1,A172,1,A192,A201,1
A13,bin0,A32,A40,bin0,A64,A72,2,A94,A101,2,A121,bin1,A143,A152,1,A171,1,A191,A202,1
A12,bin4,A32,A43,bin4,A61,A72,4,A92,A101,1,A124,bin1,A143,A152,1,A174,1,A192,A201,1
A11,bin3,A32,A43,bin3,A61,A73,3,A93,A101,2,A123,bin1,A143,A152,1,A174,1,A191,A201,1
A11,bin2,A32,A42,bin2,A61,A73,2,A93,A101,2,A123,bin0,A143,A152,1,A173,1,A191,A201,2
A14,bin2,A34,A42,bin2,A61,A72,4,A92,A101,4,A122,bin0,A143,A152,1,A173,1,A192,A201,1
A12,bin4,A31,A49,bin3,A62,A74,4,A93,A101,2,A123,bin1,A143,A152,1,A173,1,A191,A201,1
A11,bin0,A34,A40,bin0,A61,A75,1,A92,A101,4,A124,bin3,A143,A152,2,A173,1,A192,A201,1
A14,bin0,A34,A40,bin0,A62,A74,4,A92,A101,3,A123,bin4,A143,A152,2,A173,1,A192,A201,1
A11,bin4,A34,A42,bin4,A61,A73,3,A93,A103,2,A122,bin1,A143,A152,2,A173,1,A191,A201,1
A14,bin2,A34,A43,bin1,A64,A75,4,A93,A101,4,A123,bin4,A143,A152,2,A173,1,A191,A201,1
A14,bin0,A32,A43,bin1,A62,A75,2,A93,A101,4,A124,bin3,A141,A153,1,A173,2,A192,A201,1
A14,bin0,A32,A43,bin2,A61,A73,1,A93,A101,4,A122,bin3,A143,A152,1,A173,1,A192,A202,1
A13,bin4,A32,A43,bin4,A61,A73,4,A93,A101,1,A123,bin0,A143,A152,1,A173,1,A191,A201,1
A12,bin2,A34,A41,bin4,A64,A75,2,A92,A101,4,A124,bin1,A143,A151,1,A173,1,A191,A201,1
A12,bin2,A33,A49,bin4,A62,A74,4,A93,A101,4,A123,bin2,A143,A151,1,A174,1,A192,A201,1
A11,bin0,A32,A42,bin1,A61,A73,2,A92,A101,4,A123,bin0,A143,A151,1,A173,1,A191,A201,2
A11,bin0,A34,A45,bin1,A62,A75,3,A93,A103,4,A121,bin4,A143,A152,2,A173,2,A191,A202,1
A11,bin0,A31,A48,bin0,A61,A75,4,A94,A101,1,A123,bin3,A141,A152,1,A172,1,A191,A201,1
A12,bin2,A32,A40,bin3,A62,A74,2,A93,A101,3,A123,bin3,A141,A152,2,A173,1,A192,A201,1
A14,bin0,A34,A43,bin1,A65,A73,1,A93,A101,2,A121,bin2,A143,A152,2,A172,2,A191,A201,1
A14,bin2,A34,A43,bin3,A62,A75,3,A93,A101,4,A121,bin2,A143,A152,1,A173,2,A192,A201,1
A14,bin2,A34,A40,bin0,A61,A72,4,A92,A101,1,A122,bin1,A143,A152,2,A173,1,A191,A201,1
A14,bin1,A32,A44,bin0,A63,A74,4,A93,A101,3,A122,bin2,A143,A152,2,A173,1,A192,A201,1
A12,bin0,A32,A40,bin4,A61,A71,2,A93,A101,4,A124,bin4,A141,A153,1,A174,1,A192,A201,1
A14,bin4,A32,A40,bin0,A63,A75,4,A93,A101,4,A122,bin2,A143,A152,1,A173,1,A191,A201,1
A14,bin0,A32,A42,bin3,A63,A73,1,A93,A101,2,A123,bin2,A143,A152,1,A173,1,A192,A201,1
A11,bin2,A32,A42,bin0,A61,A71,4,A92,A101,2,A123,bin2,A143,A152,1,A173,1,A191,A201,2
A12,bin0,A32,A42,bin1,A64,A72,4,A92,A101,1,A121,bin0,A143,A152,1,A173,1,A191,A201,1
A14,bin2,A32,A42,bin3,A61,A74,2,A92,A101,4,A122,bin0,A143,A151,1,A173,1,A192,A201,1
A12,bin2,A34,A49,bin2,A61,A75,4,A91,A101,4,A121,bin2,A143,A152,2,A173,1,A192,A201,2
A11,bin1,A30,A40,bin0,A61,A75,4,A93,A101,3,A123,bin2,A143,A151,2,A173,2,A191,A201,2
A14,bin0,A32,A42,bin0,A61,A73,4,A92,A101,1,A121,bin0,A143,A152,1,A173,1,A192,A201,1
A12,bin2,A33,A42,bin2,A61,A71,3,A92,A101,2,A122,bin2,A143,A152,1,A174,1,A192,A201,2
A12,bin0,A32,A43,bin1,A61,A73,4,A93,A103,2,A121,bin2,A143,A152,1,A173,1,A191,A202,1
A11,bin2,A33,A46,bin3,A61,A72,2,A93,A101,1,A122,bin0,A143,A152,2,A173,1,A191,A201,2
A14,bin3,A31,A41,bin4,A65,A71,4,A92,A101,1,A121,bin4,A141,A152,1,A174,1,A192,A201,2
A11,bin0,A32,A42,bin2,A61,A73,2,A91,A101,1,A123,bin3,A143,A152,1,A173,1,A191,A201,1
A11,bin0,A34,A43,bin0,A63,A75,4,A93,A101,4,A123,bin4,A143,A152,2,A173,1,A191,A201,1
A14,bin0,A32,A43,bin2,A61,A74,4,A93,A101,2,A123,bin2,A143,A151,2,A174,2,A192,A201,1
A11,bin2,A34,A40,bin0,A61,A75,4,A93,A101,4,A121,bin4,A143,A152,2,A173,1,A191,A201,1
A14,bin4,A33,A49,bin4,A61,A72,1,A91,A101,1,A123,bin1,A143,A152,2,A173,1,A191,A201,2
A12,bin4,A33,A49,bin3,A61,A73,2,A91,A101,2,A121,bin1,A142,A152,2,A174,1,A192,A201,2
A11,bin2,A31,A40,bin1,A65,A73,4,A93,A101,2,A122,bin3,A143,A152,2,A172,2,A191,A201,2
A14,bin2,A34,A42,bin3,A64,A73,4,A93,A101,4,A121,bin4,A143,A152,1,A173,1,A192,A201,1
A12,bin2,A34,A40,bin0,A61,A75,4,A93,A101,4,A123,bin2,A141,A152,1,A173,2,A192,A201,2
A14,bin1,A34,A43,bin1,A61,A73,4,A93,A101,2,A122,bin2,A143,A152,2,A173,1,A191,A201,1
A12,bin0,A31,A41,bin4,A61,A75,2,A92,A101,4,A124,bin4,A141,A153,1,A174,2,A192,A201,2
A12,bin2,A34,A40,bin0,A61,A71,2,A93,A101,3,A123,bin4,A143,A153,3,A171,1,A192,A201,1
A11,bin0,A32,A43,bin0,A62,A74,4,A94,A101,1,A122,bin0,A143,A152,1,A173,1,A191,A201,2
A12,bin2,A30,A42,bin3,A61,A73,1,A92,A101,4,A123,bin2,A141,A152,2,A173,1,A192,A201,1
A14,bin2,A32,A49,bin3,A64,A73,2,A93,A101,3,A122,bin4,A143,A152,3,A174,1,A192,A201,2
A12,bin4,A30,A49,bin3,A62,A74,4,A93,A101,4,A124,bin2,A143,A153,1,A172,2,A191,A201,2
A12,bin3,A32,A49,bin3,A61,A73,4,A93,A101,2,A123,bin2,A143,A152,1,A173,2,A192,A201,2
A14,bin0,A32,A43,bin2,A61,A74,2,A94,A101,2,A121,bin1,A143,A151,1,A173,1,A191,A201,1
A12,bin4,A32,A43,bin3,A62,A73,4,A93,A103,4,A122,bin0,A143,A151,1,A173,1,A191,A201,2
A12,bin0,A34,A46,bin1,A61,A75,2,A92,A101,3,A123,bin2,A143,A152,2,A174,1,A192,A201,2
A14,bin0,A34,A43,bin1,A61,A73,1,A92,A101,1,A123,bin1,A143,A152,2,A173,1,A192,A201,1
A12,bin0,A32,A42,bin0,A62,A72,4,A92,A101,4,A123,bin1,A141,A151,4,A173,1,A191,A201,2
A12,bin2,A32,A41,bin2,A65,A75,4,A93,A101,4,A124,bin2,A141,A153,1,A173,1,A192,A201,1
A12,bin2,A33,A42,bin3,A61,A75,4,A91,A101,3,A124,bin3,A143,A152,1,A174,1,A192,A201,2
A14,bin0,A34,A46,bin0,A63,A75,4,A93,A101,2,A123,bin4,A143,A152,2,A173,1,A192,A201,1
A11,bin0,A32,A40,bin0,A61,A73,4,A94,A101,3,A121,bin1,A143,A152,1,A172,1,A191,A201,1
A14,bin3,A33,A49,bin4,A61,A74,3,A93,A101,4,A123,bin0,A143,A152,2,A173,1,A191,A201,1
A11,bin0,A32,A48,bin0,A61,A74,4,A94,A101,4,A122,bin0,A143,A151,1,A173,1,A191,A201,2
A14,bin0,A34,A40,bin1,A61,A75,4,A93,A101,1,A121,bin3,A143,A152,2,A172,2,A191,A201,1
A11,bin3,A34,A41,bin4,A61,A75,3,A93,A101,4,A124,bin3,A143,A153,3,A174,2,A192,A201,1
A14,bin0,A34,A42,bin2,A61,A75,4,A93,A101,4,A121,bin3,A143,A152,3,A173,1,A192,A201,1
A12,bin0,A34,A44,bin1,A61,A74,4,A93,A101,3,A122,bin0,A143,A152,1,A173,1,A191,A201,1
A11,bin2,A32,A49,bin4,A61,A73,2,A94,A101,2,A123,bin0,A142,A152,1,A172,1,A191,A201,1
A14,bin0,A32,A41,bin1,A64,A74,3,A93,A101,2,A122,bin4,A143,A152,1,A173,1,A191,A202,1
A14,bin0,A34,A43,bin3,A65,A73,1,A93,A101,2,A121,bin2,A143,A152,2,A173,2,A191,A201,1
A14,bin4,A32,A43,bin3,A65,A75,2,A92,A101,4,A121,bin3,A143,A152,1,A172,1,A192,A201,1
A11,bin3,A30,A49,bin4,A61,A71,2,A93,A101,4,A122,bin4,A142,A152,2,A173,1,A192,A201,2
A13,bin3,A33,A49,bin2,A61,A75,4,A93,A101,4,A121,bin4,A143,A152,1,A174,1,A192,A201,2
A14,bin4,A34,A43,bin3,A65,A75,4,A93,A101,2,A123,bin4,A143,A152,1,A173,1,A192,A201,1
A12,bin0,A34,A48,bin0,A65,A74,1,A92,A101,3,A122,bin3,A143,A152,2,A172,1,A191,A201,1
A11,bin2,A30,A49,bin3,A61,A74,3,A93,A101,1,A122,bin2,A141,A152,1,A173,1,A192,A201,1
A13,bin4,A32,A43,bin3,A61,A73,2,A93,A101,2,A121,bin0,A143,A152,1,A173,1,A192,A201,1
A11,bin2,A32,A42,bin3,A61,A73,2,A91,A101,2,A121,bin0,A143,A151,1,A172,1,A191,A201,1
A14,bin0,A32,A40,bin1,A61,A73,2,A92,A101,4,A123,bin4,A143,A152,1,A173,1,A192,A201,1
A12,bin0,A32,A43,bin0,A61,A72,4,A94,A103,1,A121,bin0,A141,A152,1,A172,1,A191,A201,1
A11,bin0,A32,A46,bin0,A65,A73,4,A92,A101,4,A122,bin0,A141,A151,1,A173,1,A192,A201,1
A14,bin0,A32,A43,bin0,A61,A73,4,A93,A101,2,A121,bin1,A141,A152,2,A173,1,A191,A201,1
A14,bin2,A33,A49,bin3,A65,A73,4,A93,A101,4,A121,bin2,A143,A152,2,A173,2,A192,A201,1
A14,bin1,A32,A41,bin3,A61,A73,3,A93,A101,2,A123,bin1,A143,A152,1,A173,1,A192,A201,1
A14,bin4,A30,A45,bin2,A61,A73,4,A93,A101,2,A123,bin1,A143,A152,2,A173,1,A191,A201,1
A12,bin4,A32,A43,bin4,A64,A74,1,A93,A102,2,A124,bin1,A141,A152,2,A173,1,A192,A201,2
