f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,class
1,0,bin4,bin2,bin4,bin0,bin4,bin0,bin4,bin0,bin4,bin0,bin3,bin0,bin3,bin0,bin3,bin0,bin2,bin0,bin3,bin0,bin2,bin0,bin2,bin0,bin3,bin0,bin2,bin0,bin2,bin0,bin2,bin0,g
1,0,bin4,bin0,bin4,bin0,bin4,bin0,bin4,bin3,bin4,bin0,bin4,bin4,bin4,bin0,bin4,bin1,bin4,bin0,bin4,bin4,bin4,bin4,bin4,bin1,bin4,bin0,bin4,bin0,bin4,bin0,bin4,bin0,b
1,0,bin4,bin0,bin4,bin0,bin4,bin0,bin4,bin0,bin3,bin0,bin3,bin0,bin3,bin0,bin3,bin1,bin3,bin0,bin3,bin0,bin3,bin0,bin3,bin0,bin4,bin0,bin2,bin0,bin3,bin0,bin3,bin0,g
1,0,bin4,bin0,bin4,bin3,bin4,bin0,bin4,bin0,bin4,bin3,bin4,bin2,bin4,bin1,bin4,bin0,bin4,bin0,bin2,bin3,bin4,bin4,bin4,bin1,bin4,bin4,bin4,bin0,bin4,bin4,bin4,bin1,b
1,0,bin4,bin3,bin4,bin2,bin4,bin1,bin4,bin2,bin4,bin3,bin4,bin3,bin4,bin3,bin4,bin3,bin4,bin3,bin4,bin4,bin4,bin4,bin4,bin3,bin4,bin4,bin4,bin4,bin4,bin3,bin4,bin4,g
1,0,bin3,bin0,bin4,bin3,bin2,bin0,bin4,bin0,bin1,bin0,bin1,bin1,bin0,bin0,bin0,bin3,bin4,bin0,bin1,bin2,bin1,bin2,bin0,bin4,bin3,bin4,bin0,bin2,bin4,bin3,bin0,bin2,b
1,0,bin4,bin2,bin4,bin1,bin4,bin2,bin3,bin2,bin4,bin2,bin3,bin3,bin3,bin3,bin3,bin3,bin3,bin3,bin3,bin3,bin3,bin3,bin3,bin3,bin4,bin3,bin3,bin3,bin3,bin3,bin3,bin3,g
0,0,bin2,bin1,bin0,bin0,bin4,bin4,bin0,bin4,bin0,bin4,bin4,bin0,bin4,bin4,bin0,bin0,bin0,bin4,bin4,bin0,bin0,bin4,bin0,bin4,bin4,bin0,bin0,bin4,bin0,bin0,bin4,bin0,b
1,0,bin4,bin2,bin4,bin2,bin3,bin3,bin1,bin3,bin2,bin3,bin2,bin3,bin3,bin3,bin2,bin3,bin1,bin4,bin2,bin3,bin2,bin3,bin2,bin4,bin3,bin3,bin2,bin3,bin2,bin3,bin4,bin4,g
0,0,bin4,bin0,bin2,bin1,bin2,bin1,bin4,bin4,bin4,bin0,bin0,bin4,bin1,bin1,bin0,bin4,bin4,bin4,bin0,bin4,bin4,bin4,bin0,bin4,bin4,bin4,bin4,bin0,bin4,bin4,bin4,bin4,b
1,0,bin4,bin1,bin4,bin0,bin4,bin1,bin4,bin0,bin4,bin1,bin4,bin0,bin4,bin0,bin3,bin1,bin3,bin1,bin3,bin0,bin3,bin1,bin3,bin1,bin4,bin1,bin3,bin0,bin3,bin0,bin3,bin0,g
0,0,bin4,bin4,bin2,bin1,bin2,bin1,bin0,bin0,bin0,bin1,bin1,bin1,bin0,bin0,bin0,bin0,bin0,bin4,bin0,bin4,bin1,bin2,bin1,bin2,bin4,bin0,bin0,bin4,bin0,bin4,bin0,bin4,b
1,0,bin4,bin2,bin4,bin2,bin4,bin3,bin3,bin1,bin3,bin2,bin3,bin1,bin3,bin3,bin3,bin2,bin3,bin1,bin2,bin1,bin2,bin2,bin2,bin2,bin3,bin2,bin2,bin2,bin2,bin2,bin2,bin2,g
0,0,bin0,bin4,bin2,bin1,bin2,bin1,bin0,bin4,bin4,bin4,bin1,bin1,bin1,bin1,bin4,bin0,bin0,bin4,bin4,bin4,bin1,bin2,bin0,bin0,bin4,bin0,bin4,bin4,bin0,bin4,bin0,bin2,b
1,0,bin4,bin1,bin4,bin2,bin4,bin1,bin4,bin1,bin4,bin0,bin3,bin1,bin3,bin1,bin2,bin1,bin2,bin1,bin3,bin1,bin3,bin1,bin3,bin1,bin4,bin1,bin3,bin0,bin2,bin1,bin3,bin0,g
1,0,bin4,bin4,bin4,bin0,bin4,bin0,bin4,bin0,bin4,bin0,bin4,bin0,bin4,bin0,bin4,bin0,bin4,bin0,bin4,bin0,bin4,bin0,bin4,bin0,bin4,bin0,bin4,bin0,bin4,bin0,bin4,bin0,b
1,0,bin4,bin1,bin4,bin0,bin4,bin0,bin3,bin3,bin3,bin0,bin3,bin0,bin3,bin0,bin3,bin0,bin1,bin0,bin3,bin3,bin2,bin0,bin2,bin0,bin3,bin0,bin2,bin0,bin2,bin0,bin0,bin0,g
0,0,bin0,bin0,bin2,bin1,bin0,bin4,bin4,bin0,bin0,bin1,bin1,bin1,bin1,bin1,bin4,bin0,bin0,bin0,bin4,bin0,bin1,bin2,bin4,bin0,bin0,bin4,bin0,bin0,bin0,bin2,bin0,bin4,b
1,0,bin4,bin3,bin4,bin3,bin4,bin0,bin3,bin3,bin4,bin3,bin4,bin4,bin4,bin4,bin4,bin4,bin4,bin4,bin4,bin4,bin4,bin4,bin3,bin4,bin4,bin4,bin3,bin4,bin3,bin4,bin2,bin4,g
0,0,bin0,bin0,bin4,bin4,bin4,bin0,bin0,bin4,bin4,bin0,bin0,bin0,bin1,bin1,bin4,bin4,bin0,bin0,bin4,bin0,bin4,bin0,bin4,bin4,bin4,bin0,bin4,bin0,bin0,bin4,bin4,bin0,b
1,0,bin4,bin0,bin4,bin0,bin4,bin0,bin4,bin0,bin4,bin0,bin4,bin0,bin4,bin0,bin4,bin0,bin4,bin0,bin4,bin0,bin4,bin0,bin4,bin0,bin4,bin1,bin4,bin0,bin4,bin0,bin4,bin0,g
1,0,bin4,bin0,bin4,bin4,bin4,bin0,bin4,bin0,bin4,bin0,bin4,bin1,bin4,bin0,bin4,bin4,bin4,bin0,bin4,bin4,bin4,bin0,bin1,bin2,bin4,bin4,bin4,bin0,bin4,bin4,bin4,bin4,b
1,0,bin4,bin0,bin4,bin0,bin4,bin0,bin3,bin0,bin3,bin0,bin3,bin0,bin3,bin0,bin3,bin0,bin3,bin0,bin3,bin0,bin2,bin1,bin2,bin0,bin3,bin1,bin2,bin0,bin2,bin0,bin2,bin0,g
1,0,bin4,bin1,bin3,bin0,bin4,bin1,bin4,bin0,bin4,bin1,bin2,bin4,bin3,bin0,bin3,bin1,bin3,bin1,bin0,bin4,bin2,bin3,bin2,bin1,bin4,bin1,bin2,bin1,bin3,bin0,bin0,bin0,b
1,0,bin4,bin0,bin4,bin3,bin4,bin0,bin4,bin0,bin4,bin0,bin2,bin1,bin3,bin3,bin4,bin4,bin4,bin3,bin3,bin2,bin3,bin0,bin4,bin3,bin4,bin1,bin4,bin1,bin4,bin4,bin4,bin0,g
1,0,bin4,bin0,bin4,bin4,bin4,bin0,bin2,bin0,bin4,bin0,bin4,bin0,bin4,bin4,bin1,bin4,bin4,bin4,bin4,bin4,bin4,bin0,bin4,bin4,bin4,bin2,bin4,bin1,bin4,bin4,bin4,bin4,b
1,0,bin4,bin2,bin4,bin1,bin4,bin1,bin4,bin1,bin3,bin1,bin4,bin1,bin4,bin1,bin3,bin1,bin3,bin1,bin4,bin1,bin3,bin1,bin3,bin1,bin4,bin1,bin3,bin1,bin3,bin1,bin3,bin1,g
0,0,bin4,bin4,bin4,bin0,bin2,bin1,bin0,bin1,bin0,bin0,bin1,bin1,bin1,bin1,bin0,bin4,bin4,bin4,bin0,bin4,bin0,bin4,bin4,bin0,bin4,bin4,bin0,bin4,bin4,bin4,bin0,bin2,b
1,0,bin4,bin2,bin4,bin2,bin4,bin2,bin3,bin2,bin3,bin2,bin3,bin3,bin3,bin3,bin3,bin3,bin3,bin3,bin3,bin3,bin3,bin3,bin3,bin3,bin4,bin3,bin3,bin3,bin3,bin3,bin3,bin3,g
1,0,bin4,bin2,bin4,bin2,bin4,bin2,bin2,bin0,bin3,bin2,bin3,bin4,bin3,bin3,bin3,bin3,bin4,bin4,bin2,bin3,bin2,bin3,bin2,bin3,bin3,bin3,bin2,bin3,bin2,bin3,bin4,bin4,b
1,0,bin4,bin2,bin4,bin3,bin4,bin3,bin3,bin3,bin3,bin3,bin2,bin3,bin3,bin4,bin2,bin4,bin2,bin4,bin2,bin4,bin2,bin4,bin1,bin4,bin3,bin4,bin1,bin4,bin1,bin4,bin1,bin4,g
1,0,bin0,bin0,bin4,bin4,bin4,bin0,bin0,bin1,bin0,bin4,bin4,bin4,bin1,bin0,bin0,bin0,bin1,bin0,bin4,bin0,bin0,bin4,bin0,bin0,bin4,bin0,bin0,bin0,bin4,bin4,bin0,bin2,b
1,0,bin4,bin3,bin4,bin3,bin4,bin3,bin2,bin3,bin2,bin3,bin1,bin3,bin2,bin4,bin2,bin4,bin1,bin3,bin2,bin4,bin2,bin4,bin1,bin4,bin2,bin4,bin1,bin4,bin1,bin4,bin1,bin4,g
1,0,bin0,bin0,bin4,bin4,bin4,bin0,bin4,bin0,bin4,bin4,bin4,bin0,bin4,bin0,bin4,bin3,bin4,bin0,bin4,bin1,bin0,bin4,bin2,bin4,bin4,bin4,bin4,bin0,bin4,bin0,bin4,bin0,b
1,0,bin4,bin1,bin4,bin0,bin4,bin0,bin4,bin0,bin3,bin0,bin3,bin0,bin3,bin0,bin3,bin0,bin3,bin0,bin3,bin0,bin3,bin0,bin2,bin0,bin4,bin0,bin2,bin0,bin2,bin0,bin2,bin0,g
0,0,bin2,bin1,bin2,bin1,bin2,bin1,bin4,bin4,bin4,bin4,bin1,bin1,bin1,bin1,bin0,bin0,bin0,bin0,bin1,bin2,bin1,bin2,bin0,bin0,bin0,bin0,bin0,bin4,bin4,bin2,bin0,bin2,b
1,0,bin4,bin1,bin4,bin0,bin4,bin0,bin4,bin0,bin3,bin0,bin3,bin0,bin3,bin0,bin3,bin0,bin3,bin1,bin3,bin0,bin3,bin1,bin3,bin1,bin4,bin1,bin3,bin0,bin3,bin0,bin3,bin0,g
1,0,bin4,bin1,bin0,bin3,bin1,bin3,bin2,bin0,bin4,bin1,bin0,bin1,bin0,bin3,bin3,bin0,bin4,bin0,bin0,bin1,bin0,bin4,bin3,bin1,bin3,bin0,bin4,bin0,bin0,bin3,bin0,bin4,b
1,0,bin4,bin2,bin4,bin1,bin4,bin1,bin3,bin1,bin3,bin1,bin3,bin1,bin3,bin1,bin3,bin1,bin3,bin1,bin3,bin1,bin3,bin1,bin3,bin1,bin4,bin1,bin3,bin1,bin3,bin1,bin3,bin1,g
1,0,bin2,bin1,bin4,bin4,bin2,bin1,bin1,bin0,bin0,bin1,bin1,bin1,bin0,bin0,bin0,bin0,bin3,bin4,bin1,bin2,bin2,bin4,bin0,bin4,bin4,bin0,bin0,bin4,bin0,bin2,bin0,bin2,b
1,0,bin4,bin0,bin3,bin2,bin4,bin1,bin3,bin3,bin2,bin1,bin3,bin4,bin3,bin0,bin2,bin1,bin3,bin1,bin4,bin4,bin2,bin1,bin3,bin2,bin4,bin2,bin2,bin1,bin3,bin1,bin4,bin2,g
0,0,bin4,bin4,bin4,bin0,bin2,bin1,bin0,bin1,bin4,bin4,bin4,bin4,bin0,bin0,bin4,bin0,bin0,bin4,bin1,bin2,bin4,bin0,bin4,bin0,bin4,bin4,bin0,bin0,bin0,bin2,bin0,bin2,b
1,0,bin4,bin4,bin4,bin4,bin4,bin4,bin0,bin4,bin0,bin4,bin0,bin4,bin0,bin4,bin0,bin0,bin0,bin0,bin0,bin0,bin0,bin0,bin3,bin0,bin4,bin0,bin4,bin0,bin4,bin0,bin4,bin4,g
1,0,bin0,bin0,bin0,bin4,bin4,bin3,bin1,bin0,bin0,bin0,bin4,bin4,bin3,bin0,bin0,bin4,bin3,bin4,bin4,bin0,bin0,bin0,bin0,bin4,bin4,bin0,bin0,bin0,bin0,bin4,bin4,bin4,b
1,0,bin4,bin3,bin4,bin1,bin4,bin1,bin3,bin1,bin3,bin2,bin3,bin0,bin3,bin0,bin4,bin0,bin3,bin1,bin3,bin1,bin3,bin1,bin4,bin1,bin4,bin1,bin3,bin1,bin3,bin0,bin3,bin0,g
1,0,bin2,bin0,bin0,bin4,bin0,bin4,bin2,bin3,bin0,bin0,bin0,bin0,bin0,bin4,bin1,bin4,bin0,bin0,bin0,bin0,bin0,bin1,bin0,bin4,bin4,bin0,bin0,bin0,bin0,bin0,bin0,bin4,b
1,0,bin4,bin1,bin4,bin1,bin4,bin1,bin4,bin0,bin4,bin3,bin4,bin0,bin4,bin1,bin4,bin3,bin4,bin1,bin4,bin1,bin3,bin1,bin4,bin0,bin4,bin1,bin3,bin1,bin3,bin1,bin3,bin1,g
0,0,bin0,bin4,bin4,bin0,bin0,bin4,bin0,bin1,bin4,bin4,bin0,bin0,bin4,bin4,bin0,bin0,bin4,bin0,bin0,bin0,bin4,bin4,bin4,bin0,bin4,bin4,bin4,bin4,bin0,bin2,bin0,bin0,b
1,0,bin4,bin2,bin4,bin2,bin4,bin3,bin4,bin1,bin3,bin2,bin3,bin3,bin3,bin3,bin3,bin3,bin4,bin3,bin4,bin3,bin3,bin3,bin3,bin3,bin4,bin3,bin3,bin3,bin3,bin3,bin3,bin3,g
1,0,bin2,bin0,bin0,bin4,bin2,bin1,bin0,bin1,bin0,bin4,bin1,bin1,bin0,bin0,bin3,bin3,bin2,bin3,bin1,bin2,bin0,bin1,bin0,bin4,bin4,bin4,bin0,bin4,bin0,bin2,bin0,bin2,b
1,0,bin4,bin3,bin4,bin3,bin4,bin3,bin3,bin2,bin3,bin3,bin3,bin3,bin3,bin3,bin3,bin3,bin3,bin3,bin3,bin3,bin3,bin4,bin3,bin4,bin4,bin4,bin2,bin4,bin2,bin4,bin2,bin4,g
1,0,bin2,bin0,bin2,bin1,bin2,bin1,bin0,bin1,bin0,bin1,bin1,bin1,bin1,bin0,bin1,bin4,bin4,bin0,bin1,bin2,bin1,bin0,bin0,bin1,bin4,bin0,bin0,bin3,bin0,bin2,bin4,bin0,b
1,0,bin4,bin3,bin4,bin3,bin4,bin3,bin3,bin3,bin3,bin3,bin3,bin3,bin3,bin4,bin3,bin4,bin2,bin4,bin2,bin4,bin2,bin4,bin2,bin4,bin3,bin4,bin2,bin4,bin2,bin4,bin2,bin4,g
1,0,bin4,bin4,bin3,bin0,bin4,bin4,bin3,bin3,bin0,bin4,bin0,bin4,bin1,bin2,bin0,bin0,bin1,bin2,bin2,bin0,bin0,bin4,bin3,bin0,bin4,bin2,bin4,bin4,bin1,bin0,bin4,bin4,b
1,0,bin4,bin0,bin4,bin4,bin4,bin3,bin4,bin0,bin3,bin3,bin2,bin0,bin4,bin2,bin4,bin0,bin3,bin1,bin3,bin1,bin4,bin1,bin3,bin3,bin4,bin2,bin4,bin1,bin2,bin3,bin2,bin1,g
1,0,bin4,bin3,bin4,bin3,bin4,bin0,bin2,bin2,bin4,bin3,bin4,bin4,bin4,bin3,bin4,bin2,bin2,bin0,bin4,bin4,bin3,bin3,bin3,bin1,bin4,bin3,bin2,bin2,bin4,bin3,bin4,bin4,b
1,0,bin4,bin3,bin4,bin2,bin4,bin2,bin4,bin2,bin3,bin3,bin4,bin2,bin4,bin2,bin3,bin1,bin3,bin1,bin4,bin2,bin4,bin3,bin4,bin1,bin4,bin2,bin3,bin3,bin4,bin1,bin3,bin1,g
0,0,bin4,bin0,bin4,bin0,bin4,bin0,bin4,bin0,bin4,bin4,bin4,bin4,bin4,bin0,bin4,bin4,bin4,bin4,bin4,bin4,bin4,bin0,bin4,bin0,bin4,bin0,bin4,bin4,bin0,bin2,bin4,bin0,b
1,0,bin4,bin4,bin4,bin4,bin3,bin4,bin1,bin4,bin0,bin4,bin0,bin4,bin0,bin3,bin0,bin0,bin0,bin0,bin0,bin0,bin0,bin0,bin2,bin0,bin3,bin0,bin1,bin0,bin3,bin0,bin4,bin3,g
1,0,bin4,bin4,bin4,bin0,bin4,bin0,bin4,bin4,bin4,bin4,bin4,bin4,bin4,bin0,bin4,bin4,bin4,bin4,bin4,bin4,bin4,bin4,bin4,bin4,bin4,bin4,bin0,bin2,bin4,bin0,bin4,bin0,b
1,0,bin4,bin2,bin4,bin3,bin4,bin3,bin4,bin3,bin4,bin3,bin4,bin3,bin4,bin3,bin4,bin4,bin4,bin4,bin4,bin4,bin4,bin4,bin3,bin4,bin4,bin4,bin3,bin4,bin3,bin4,bin3,bin4,g
0,0,bin4,bin0,bin4,bin4,bin0,bin0,bin4,bin0,bin0,bin1,bin1,bin1,bin0,bin4,bin4,bin0,bin4,bin0,bin0,bin4,bin4,bin0,bin4,bin0,bin4,bin0,bin0,bin0,bin0,bin2,bin4,bin0,b
1,0,bin4,bin3,bin4,bin3,bin4,bin3,bin3,bin3,bin3,bin3,bin3,bin3,bin3,bin4,bin2,bin4,bin2,bin4,bin2,bin4,bin2,bin4,bin2,bin4,bin3,bin4,bin1,bin4,bin1,bin4,bin1,bin4,g
1,0,bin4,bin4,bin2,bin1,bin1,bin4,bin0,bin1,bin0,bin1,bin1,bin1,bin1,bin0,bin1,bin3,bin2,bin4,bin1,bin2,bin1,bin2,bin3,bin4,bin4,bin4,bin0,bin2,bin0,bin2,bin0,bin2,b
1,0,bin4,bin2,bin4,bin3,bin4,bin3,bin4,bin3,bin4,bin3,bin4,bin3,bin3,bin4,bin3,bin4,bin3,bin4,bin3,bin4,bin3,bin4,bin2,bin4,bin3,bin4,bin2,bin4,bin2,bin4,bin2,bin4,g
0,0,bin4,bin4,bin2,bin1,bin4,bin0,bin4,bin0,bin4,bin4,bin4,bin4,bin4,bin0,bin4,bin4,bin4,bin4,bin4,bin0,bin0,bin0,bin4,bin0,bin4,bin0,bin4,bin4,bin0,bin2,bin4,bin0,b
1,0,bin4,bin2,bin4,bin3,bin4,bin3,bin4,bin3,bin3,bin3,bin3,bin3,bin3,bin3,bin3,bin4,bin3,bin4,bin3,bin4,bin3,bin4,bin2,bin4,bin3,bin4,bin2,bin4,bin2,bin4,bin2,bin4,g
0,0,bin4,bin4,bin4,bin0,bin4,bin4,bin4,bin4,bin4,bin4,bin4,bin4,bin4,bin4,bin4,bin0,bin0,bin4,bin0,bin4,bin0,bin4,bin4,bin0,bin4,bin4,bin0,bin4,bin0,bin0,bin0,bin4,b
1,0,bin4,bin3,bin4,bin3,bin4,bin4,bin4,bin4,bin4,bin4,bin4,bin4,bin4,bin4,bin4,bin4,bin4,bin4,bin3,bin4,bin3,bin4,bin2,bin4,bin3,bin4,bin1,bin4,bin0,bin4,bin0,bin4,g
0,0,bin4,bin4,bin4,bin0,bin4,bin4,bin0,bin4,bin0,bin1,bin4,bin4,bin1,bin1,bin1,bin2,bin0,bin4,bin0,bin4,bin4,bin4,bin4,bin0,bin4,bin4,bin4,bin4,bin4,bin0,bin0,bin4,b
1,0,bin4,bin1,bin4,bin4,bin4,bin3,bin4,bin3,bin4,bin0,bin4,bin0,bin4,bin0,bin4,bin3,bin4,bin0,bin4,bin1,bin4,bin0,bin4,bin0,bin4,bin0,bin4,bin0,bin4,bin0,bin4,bin0,g
0,0,bin4,bin0,bin4,bin4,bin4,bin4,bin4,bin4,bin4,bin4,bin4,bin0,bin4,bin0,bin4,bin4,bin4,bin0,bin4,bin4,bin4,bin4,bin4,bin0,bin4,bin4,bin4,bin0,bin4,bin4,bin4,bin0,b
1,0,bin4,bin3,bin4,bin3,bin4,bin3,bin3,bin3,bin2,bin3,bin2,bin3,bin2,bin4,bin2,bin4,bin2,bin4,bin2,bin4,bin2,bin4,bin1,bin4,bin2,bin4,bin1,bin4,bin1,bin4,bin0,bin4,g
1,0,bin4,bin0,bin4,bin3,bin3,bin3,bin1,bin3,bin4,bin0,bin1,bin3,bin1,bin3,bin1,bin4,bin1,bin4,bin1,bin3,bin1,bin3,bin0,bin3,bin2,bin3,bin0,bin3,bin0,bin3,bin0,bin3,b
1,0,bin4,bin1,bin4,bin1,bin4,bin2,bin3,bin2,bin2,bin2,bin2,bin2,bin2,bin3,bin3,bin1,bin2,bin2,bin3,bin3,bin2,bin1,bin2,bin3,bin4,bin2,bin2,bin1,bin2,bin1,bin2,bin3,g
1,0,bin3,bin1,bin4,bin2,bin4,bin4,bin1,bin3,bin2,bin3,bin2,bin0,bin2,bin4,bin2,bin1,bin2,bin1,bin2,bin3,bin3,bin4,bin2,bin3,bin3,bin3,bin1,bin2,bin2,bin3,bin2,bin3,b
1,0,bin4,bin2,bin4,bin0,bin4,bin2,bin2,bin1,bin2,bin2,bin2,bin0,bin2,bin1,bin3,bin3,bin2,bin1,bin3,bin1,bin3,bin1,bin3,bin1,bin4,bin2,bin3,bin3,bin3,bin3,bin3,bin2,g
1,0,bin4,bin1,bin4,bin2,bin4,bin4,bin2,bin1,bin1,bin0,bin3,bin3,bin2,bin4,bin2,bin3,bin2,bin3,bin4,bin1,bin4,bin0,bin2,bin4,bin3,bin3,bin2,bin3,bin2,bin3,bin4,bin4,b
1,0,bin3,bin1,bin3,bin1,bin3,bin3,bin1,bin1,bin2,bin3,bin2,bin2,bin2,bin1,bin2,bin2,bin2,bin2,bin2,bin3,bin2,bin3,bin2,bin3,bin3,bin3,bin2,bin3,bin2,bin3,bin2,bin3,g
1,0,bin3,bin3,bin3,bin3,bin3,bin3,bin0,bin3,bin1,bin3,bin0,bin3,bin0,bin3,bin1,bin4,bin0,bin3,bin0,bin3,bin0,bin4,bin0,bin2,bin2,bin2,bin0,bin0,bin0,bin1,bin0,bin1,b
1,0,bin4,bin0,bin4,bin3,bin4,bin3,bin3,bin2,bin3,bin1,bin3,bin3,bin3,bin3,bin2,bin4,bin2,bin4,bin3,bin3,bin4,bin4,bin2,bin4,bin4,bin4,bin3,bin4,bin2,bin4,bin2,bin4,g
1,0,bin4,bin1,bin1,bin0,bin2,bin0,bin2,bin2,bin3,bin1,bin0,bin4,bin0,bin0,bin3,bin1,bin3,bin1,bin1,bin4,bin0,bin4,bin3,bin2,bin4,bin1,bin3,bin1,bin0,bin0,bin0,bin0,b
1,0,bin4,bin0,bin4,bin2,bin3,bin3,bin2,bin3,bin1,bin3,bin2,bin0,bin2,bin3,bin2,bin0,bin1,bin1,bin2,bin3,bin2,bin2,bin1,bin1,bin3,bin2,bin2,bin2,bin3,bin1,bin2,bin3,g
1,0,bin1,bin3,bin1,bin4,bin3,bin0,bin1,bin1,bin1,bin0,bin2,bin3,bin2,bin1,bin1,bin4,bin1,bin3,bin2,bin3,bin0,bin0,bin4,bin4,bin3,bin1,bin0,bin3,bin1,bin4,bin2,bin1,b
1,0,bin3,bin3,bin3,bin3,bin3,bin1,bin1,bin3,bin2,bin0,bin2,bin1,bin2,bin2,bin3,bin1,bin2,bin2,bin2,bin3,bin1,bin1,bin2,bin2,bin3,bin2,bin2,bin3,bin3,bin2,bin2,bin1,g
1,0,bin4,bin3,bin2,bin1,bin3,bin2,bin1,bin4,bin1,bin4,bin0,bin4,bin1,bin3,bin1,bin4,bin0,bin4,bin1,bin3,bin0,bin3,bin0,bin4,bin1,bin4,bin0,bin4,bin0,bin3,bin0,bin2,b
1,0,bin4,bin3,bin4,bin3,bin4,bin3,bin2,bin3,bin1,bin4,bin1,bin4,bin1,bin4,bin0,bin4,bin0,bin4,bin0,bin4,bin0,bin4,bin0,bin4,bin0,bin3,bin0,bin3,bin0,bin1,bin0,bin1,g
1,0,bin4,bin3,bin4,bin3,bin4,bin3,bin1,bin4,bin1,bin4,bin1,bin4,bin0,bin4,bin0,bin4,bin0,bin4,bin0,bin4,bin0,bin4,bin0,bin3,bin0,bin2,bin0,bin1,bin0,bin0,bin0,bin0,g
1,0,bin0,bin0,bin2,bin1,bin3,bin0,bin2,bin3,bin0,bin0,bin1,bin1,bin1,bin1,bin4,bin1,bin2,bin0,bin4,bin0,bin0,bin0,bin4,bin0,bin0,bin0,bin0,bin0,bin4,bin0,bin0,bin2,b
1,0,bin4,bin2,bin4,bin2,bin4,bin2,bin2,bin3,bin2,bin3,bin2,bin2,bin3,bin3,bin2,bin1,bin2,bin2,bin3,bin3,bin2,bin3,bin2,bin3,bin4,bin3,bin2,bin3,bin2,bin3,bin3,bin3,g
1,0,bin4,bin0,bin2,bin1,bin4,bin0,bin2,bin3,bin0,bin0,bin1,bin1,bin1,bin1,bin2,bin0,bin3,bin0,bin1,bin2,bin1,bin0,bin0,bin0,bin0,bin0,bin4,bin0,bin4,bin0,bin0,bin2,b
1,0,bin4,bin2,bin4,bin1,bin4,bin1,bin4,bin1,bin4,bin1,bin4,bin1,bin4,bin0,bin4,bin1,bin4,bin1,bin4,bin1,bin4,bin1,bin4,bin1,bin4,bin1,bin3,bin1,bin4,bin1,bin3,bin1,g
