RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,class
bin2,bin1,bin3,bin1,bin3,bin4,bin2,bin0,bin0,1
bin2,bin2,bin2,bin2,bin1,bin3,bin1,bin0,bin0,1
bin1,bin1,bin2,bin2,bin3,bin2,bin1,bin0,bin0,1
bin2,bin0,bin2,bin2,bin4,bin2,bin2,bin0,bin0,1
bin2,bin1,bin2,bin1,bin2,bin3,bin2,bin0,bin0,1
bin2,bin0,bin3,bin2,bin3,bin3,bin2,bin0,bin1,1
bin2,bin0,bin2,bin0,bin4,bin2,bin2,bin0,bin0,1
bin2,bin0,bin2,bin1,bin3,bin3,bin2,bin0,bin2,1
bin2,bin0,bin2,bin2,bin4,bin3,bin2,bin0,bin0,1
bin2,bin0,bin3,bin2,bin3,bin2,bin2,bin0,bin0,1
bin0,bin2,bin2,bin1,bin2,bin2,bin2,bin0,bin0,1
bin3,bin3,bin2,bin2,bin0,bin2,bin3,bin0,bin0,1
bin2,bin0,bin2,bin2,bin3,bin4,bin2,bin0,bin0,1
bin4,bin4,bin4,bin0,bin0,bin1,bin3,bin0,bin0,1
bin4,bin4,bin4,bin0,bin0,bin1,bin3,bin0,bin0,1
bin2,bin0,bin2,bin0,bin3,bin4,bin2,bin0,bin0,1
bin2,bin0,bin2,bin1,bin4,bin3,bin2,bin0,bin0,1
bin2,bin2,bin1,bin2,bin2,bin3,bin2,bin0,bin0,1
bin4,bin3,bin4,bin0,bin0,bin1,bin4,bin0,bin0,1
bin2,bin0,bin2,bin1,bin3,bin3,bin2,bin0,bin2,1
bin3,bin3,bin2,bin2,bin0,bin2,bin3,bin0,bin0,1
bin3,bin2,bin1,bin1,bin2,bin2,bin3,bin0,bin1,1
bin4,bin3,bin4,bin0,bin0,bin0,bin4,bin0,bin0,1
bin4,bin2,bin4,bin0,bin0,bin1,bin4,bin0,bin0,1
bin3,bin3,bin1,bin1,bin0,bin3,bin3,bin0,bin0,1
bin4,bin3,bin4,bin0,bin0,bin1,bin4,bin0,bin1,1
bin3,bin2,bin1,bin1,bin1,bin3,bin3,bin0,bin1,1
bin2,bin2,bin1,bin1,bin2,bin2,bin3,bin0,bin0,1
bin3,bin1,bin1,bin1,bin2,bin2,bin3,bin0,bin0,1
bin2,bin2,bin1,bin1,bin3,bin2,bin3,bin0,bin0,1
bin2,bin0,bin1,bin1,bin4,bin2,bin3,bin0,bin2,1
bin0,bin1,bin2,bin0,bin3,bin3,bin1,bin0,bin3,1
bin3,bin1,bin2,bin1,bin3,bin3,bin1,bin0,bin0,1
bin2,bin3,bin4,bin1,bin3,bin3,bin0,bin0,bin0,1
bin2,bin2,bin4,bin1,bin2,bin2,bin1,bin0,bin1,1
bin3,bin3,bin3,bin0,bin1,bin1,bin2,bin0,bin0,1
bin3,bin3,bin3,bin2,bin0,bin1,bin2,bin1,bin0,1
bin4,bin3,bin4,bin0,bin0,bin1,bin3,bin0,bin1,1
bin4,bin4,bin4,bin0,bin0,bin0,bin4,bin0,bin0,1
bin4,bin3,bin4,bin0,bin0,bin1,bin4,bin0,bin0,1
bin4,bin3,bin3,bin0,bin0,bin1,bin3,bin0,bin0,1
bin4,bin1,bin4,bin0,bin1,bin1,bin4,bin0,bin1,1
bin4,bin1,bin4,bin0,bin1,bin1,bin4,bin0,bin1,1
bin4,bin1,bin3,bin0,bin1,bin1,bin4,bin0,bin1,1
bin4,bin2,bin3,bin0,bin0,bin1,bin4,bin0,bin0,1
bin0,bin4,bin4,bin3,bin0,bin1,bin0,bin0,bin1,2
bin3,bin3,bin4,bin1,bin0,bin2,bin1,bin0,bin3,2
bin0,bin1,bin3,bin3,bin3,bin4,bin0,bin0,bin0,2
bin1,bin2,bin3,bin3,bin2,bin3,bin0,bin0,bin0,2
bin0,bin1,bin3,bin3,bin3,bin4,bin0,bin0,bin0,2
bin0,bin1,bin3,bin3,bin3,bin4,bin0,bin0,bin0,2
bin1,bin2,bin3,bin3,bin1,bin4,bin0,bin0,bin0,2
bin0,bin1,bin3,bin3,bin2,bin3,bin0,bin0,bin0,2
bin0,bin3,bin2,bin1,bin2,bin1,bin0,bin0,bin1,2
bin0,bin0,bin2,bin4,bin2,bin4,bin0,bin0,bin0,2
bin0,bin1,bin2,bin4,bin1,bin4,bin0,bin0,bin0,2
bin0,bin2,bin2,bin2,bin4,bin3,bin0,bin0,bin0,2
bin1,bin2,bin3,bin1,bin2,bin4,bin0,bin0,bin0,2
bin0,bin1,bin2,bin3,bin2,bin4,bin0,bin0,bin0,2
bin0,bin4,bin1,bin4,bin1,bin4,bin0,bin0,bin0,2
bin0,bin2,bin3,bin3,bin2,bin1,bin1,bin0,bin0,2
bin0,bin2,bin2,bin2,bin4,bin1,bin0,bin0,bin0,2
bin1,bin2,bin2,bin3,bin1,bin4,bin0,bin0,bin0,2
bin0,bin1,bin2,bin2,bin2,bin3,bin0,bin0,bin0,2
bin1,bin0,bin2,bin4,bin4,bin4,bin0,bin0,bin0,2
bin3,bin1,bin4,bin0,bin1,bin4,bin3,bin0,bin2,2
bin0,bin1,bin2,bin2,bin3,bin1,bin1,bin0,bin0,2
bin0,bin1,bin2,bin3,bin4,bin0,bin1,bin0,bin1,2
bin0,bin2,bin1,bin2,bin3,bin1,bin1,bin0,bin0,2
bin0,bin0,bin1,bin3,bin4,bin4,bin1,bin0,bin0,2
bin3,bin2,bin2,bin2,bin1,bin2,bin2,bin0,bin0,2
bin3,bin1,bin3,bin0,bin1,bin4,bin3,bin0,bin1,2
bin2,bin0,bin1,bin1,bin4,bin3,bin3,bin0,bin2,2
bin1,bin0,bin1,bin3,bin4,bin4,bin2,bin0,bin0,2
bin2,bin1,bin1,bin2,bin2,bin3,bin3,bin0,bin0,2
bin1,bin0,bin1,bin2,bin4,bin2,bin3,bin0,bin2,2
bin1,bin0,bin1,bin3,bin2,bin4,bin3,bin0,bin0,2
bin3,bin0,bin1,bin0,bin4,bin1,bin3,bin0,bin1,2
bin4,bin3,bin1,bin0,bin0,bin0,bin4,bin0,bin0,2
bin4,bin3,bin1,bin1,bin0,bin0,bin4,bin0,bin0,2
bin4,bin0,bin0,bin4,bin1,bin4,bin4,bin0,bin3,2
bin4,bin0,bin0,bin4,bin0,bin3,bin4,bin4,bin2,2
bin4,bin0,bin0,bin0,bin0,bin1,bin4,bin0,bin2,2
bin4,bin4,bin0,bin0,bin2,bin1,bin4,bin0,bin0,2
bin3,bin3,bin0,bin0,bin4,bin0,bin4,bin0,bin0,2
bin4,bin0,bin0,bin0,bin4,bin0,bin4,bin0,bin0,2
bin4,bin0,bin0,bin0,bin3,bin0,bin4,bin0,bin0,2
bin4,bin0,bin0,bin0,bin0,bin0,bin4,bin0,bin0,2
bin3,bin3,bin4,bin1,bin1,bin2,bin1,bin0,bin1,2
bin3,bin1,bin4,bin1,bin1,bin3,bin1,bin0,bin0,2
bin3,bin2,bin4,bin2,bin1,bin2,bin1,bin0,bin0,2
bin3,bin2,bin4,bin2,bin1,bin2,bin1,bin0,bin0,2
bin1,bin3,bin4,bin4,bin0,bin4,bin0,bin0,bin0,2
bin1,bin2,bin4,bin3,bin1,bin4,bin0,bin0,bin2,2
bin1,bin3,bin3,bin2,bin1,bin4,bin0,bin0,bin0,2
bin3,bin2,bin4,bin2,bin1,bin3,bin1,bin0,bin0,2
bin1,bin1,bin3,bin3,bin3,bin4,bin0,bin0,bin2,2
bin1,bin2,bin3,bin2,bin2,bin2,bin0,bin0,bin0,2
bin1,bin3,bin2,bin3,bin1,bin3,bin0,bin0,bin0,2
bin4,bin2,bin4,bin1,bin2,bin2,bin2,bin0,bin0,2
bin3,bin1,bin4,bin3,bin1,bin3,bin2,bin0,bin1,2
bin1,bin1,bin3,bin1,bin2,bin2,bin2,bin0,bin0,2
bin4,bin3,bin1,bin2,bin0,bin1,bin4,bin0,bin1,2
bin4,bin3,bin1,bin3,bin1,bin2,bin3,bin0,bin1,2
bin3,bin3,bin1,bin3,bin0,bin1,bin4,bin0,bin1,2
bin4,bin3,bin1,bin2,bin1,bin1,bin4,bin0,bin0,2
bin4,bin3,bin0,bin2,bin0,bin1,bin4,bin0,bin0,2
bin3,bin2,bin4,bin1,bin1,bin3,bin1,bin0,bin0,2
bin2,bin3,bin4,bin3,bin0,bin2,bin1,bin0,bin1,2
bin2,bin2,bin4,bin1,bin2,bin2,bin0,bin0,bin0,2
bin2,bin2,bin4,bin2,bin1,bin2,bin1,bin0,bin2,2
bin2,bin1,bin4,bin0,bin3,bin2,bin1,bin0,bin1,2
bin1,bin1,bin3,bin3,bin3,bin3,bin0,bin0,bin0,2
bin1,bin0,bin2,bin3,bin4,bin4,bin0,bin0,bin0,2
bin1,bin1,bin3,bin3,bin3,bin4,bin0,bin0,bin0,2
bin1,bin2,bin3,bin3,bin1,bin4,bin0,bin0,bin0,2
bin3,bin2,bin3,bin0,bin2,bin2,bin1,bin0,bin1,2
bin1,bin0,bin2,bin2,bin3,bin4,bin1,bin0,bin2,2
bin1,bin1,bin2,bin4,bin2,bin4,bin1,bin0,bin0,2
bin1,bin1,bin1,bin1,bin3,bin3,bin3,bin0,bin2,2
bin3,bin0,bin4,bin1,bin1,bin3,bin2,bin0,bin3,2
bin2,bin3,bin4,bin0,bin2,bin1,bin2,bin0,bin0,3
bin0,bin2,bin2,bin2,bin2,bin2,bin1,bin0,bin0,3
bin1,bin2,bin3,bin2,bin2,bin2,bin1,bin0,bin0,3
bin1,bin0,bin2,bin2,bin2,bin2,bin2,bin0,bin0,3
bin1,bin1,bin2,bin4,bin1,bin3,bin1,bin0,bin1,3
bin4,bin4,bin4,bin0,bin0,bin0,bin3,bin0,bin0,3
bin2,bin3,bin4,bin0,bin3,bin0,bin3,bin0,bin0,3
bin0,bin2,bin2,bin1,bin2,bin3,bin1,bin0,bin0,3
bin1,bin1,bin3,bin2,bin1,bin3,bin3,bin0,bin0,3
bin1,bin1,bin2,bin1,bin3,bin2,bin2,bin0,bin0,3
bin1,bin2,bin1,bin1,bin1,bin2,bin2,bin0,bin0,3
bin4,bin4,bin4,bin0,bin0,bin1,bin4,bin0,bin0,3
bin2,bin3,bin2,bin3,bin0,bin3,bin3,bin0,bin0,3
bin2,bin3,bin1,bin3,bin0,bin2,bin3,bin0,bin0,3
bin3,bin2,bin1,bin3,bin1,bin2,bin3,bin0,bin0,3
bin3,bin3,bin3,bin0,bin1,bin1,bin3,bin0,bin2,3
bin4,bin4,bin4,bin0,bin0,bin1,bin3,bin0,bin3,3
bin0,bin3,bin1,bin4,bin0,bin4,bin0,bin3,bin0,5
bin3,bin0,bin1,bin4,bin2,bin3,bin4,bin0,bin0,5
bin4,bin0,bin1,bin3,bin2,bin1,bin4,bin0,bin0,5
bin4,bin0,bin1,bin3,bin4,bin3,bin4,bin0,bin0,5
bin3,bin0,bin0,bin3,bin4,bin1,bin4,bin0,bin0,5
bin1,bin1,bin0,bin4,bin4,bin4,bin4,bin0,bin0,5
bin3,bin2,bin0,bin4,bin3,bin1,bin4,bin0,bin0,5
bin4,bin2,bin0,bin3,bin1,bin1,bin4,bin0,bin0,5
bin0,bin1,bin0,bin4,bin0,bin4,bin0,bin0,bin0,5
bin0,bin1,bin0,bin4,bin0,bin4,bin0,bin0,bin0,5
bin4,bin2,bin0,bin2,bin1,bin1,bin4,bin0,bin0,5
bin4,bin0,bin1,bin4,bin1,bin4,bin4,bin0,bin4,5
bin4,bin1,bin0,bin3,bin4,bin1,bin4,bin0,bin2,5
bin3,bin3,bin1,bin3,bin1,bin0,bin3,bin0,bin0,6
bin3,bin3,bin1,bin1,bin2,bin0,bin4,bin0,bin0,6
bin3,bin4,bin1,bin3,bin1,bin0,bin3,bin0,bin0,6
bin3,bin4,bin1,bin3,bin2,bin0,bin3,bin0,bin0,6
bin0,bin4,bin1,bin3,bin4,bin0,bin0,bin0,bin0,6
bin3,bin4,bin1,bin3,bin1,bin0,bin4,bin0,bin0,6
bin3,bin4,bin0,bin4,bin2,bin0,bin4,bin0,bin0,6
bin3,bin4,bin0,bin0,bin4,bin0,bin4,bin0,bin0,6
bin0,bin4,bin0,bin0,bin4,bin0,bin0,bin0,bin0,6
bin0,bin3,bin1,bin4,bin2,bin4,bin0,bin1,bin0,7
bin3,bin4,bin1,bin4,bin0,bin4,bin0,bin2,bin0,7
bin4,bin2,bin1,bin1,bin1,bin3,bin3,bin0,bin0,7
bin4,bin4,bin1,bin4,bin0,bin4,bin4,bin0,bin0,7
bin4,bin4,bin1,bin2,bin0,bin1,bin2,bin2,bin0,7
bin0,bin3,bin1,bin4,bin3,bin0,bin2,bin1,bin0,7
bin0,bin4,bin0,bin4,bin4,bin0,bin2,bin1,bin0,7
bin0,bin4,bin0,bin4,bin4,bin0,bin3,bin0,bin0,7
bin1,bin4,bin0,bin4,bin3,bin0,bin2,bin2,bin0,7
bin1,bin4,bin0,bin4,bin4,bin0,bin2,bin2,bin0,7
bin0,bin4,bin0,bin4,bin4,bin0,bin3,bin0,bin0,7
bin0,bin3,bin0,bin4,bin4,bin1,bin3,bin1,bin0,7
bin1,bin4,bin0,bin4,bin4,bin0,bin3,bin1,bin0,7
bin0,bin4,bin0,bin4,bin3,bin0,bin3,bin1,bin0,7
bin0,bin4,bin0,bin4,bin3,bin0,bin3,bin0,bin0,7
bin0,bin4,bin0,bin4,bin4,bin0,bin1,bin0,bin0,7
bin1,bin0,bin0,bin1,bin4,bin4,bin3,bin0,bin0,7
bin0,bin4,bin0,bin4,bin4,bin0,bin1,bin0,bin0,7
bin1,bin4,bin0,bin4,bin3,bin0,bin1,bin2,bin0,7
bin0,bin4,bin0,bin4,bin4,bin0,bin2,bin1,bin0,7
bin1,bin4,bin0,bin4,bin3,bin0,bin2,bin2,bin0,7
bin1,bin4,bin0,bin4,bin3,bin0,bin2,bin2,bin0,7
bin3,bin4,bin0,bin4,bin2,bin4,bin0,bin4,bin0,7
bin1,bin4,bin0,bin4,bin2,bin0,bin3,bin0,bin0,7
bin0,bin4,bin0,bin4,bin1,bin0,bin3,bin1,bin0,7
bin1,bin4,bin0,bin4,bin3,bin0,bin1,bin2,bin0,7
bin4,bin4,bin0,bin4,bin4,bin0,bin1,bin2,bin0,7
bin1,bin4,bin0,bin4,bin4,bin0,bin1,bin2,bin0,7
bin1,bin4,bin0,bin4,bin4,bin0,bin2,bin2,bin0,7
