a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,class
b,bin2,bin3,u,g,cc,h,bin4,t,t,bin0,f,g,bin4,bin0,+
b,bin4,bin1,u,g,i,bb,bin3,f,f,bin0,f,g,bin3,bin0,+
b,bin1,bin0,u,g,c,v,bin1,f,f,bin0,f,g,bin1,bin0,+
a,bin2,bin0,u,g,c,h,bin2,t,f,bin0,t,g,bin4,bin0,+
b,bin2,bin1,u,g,q,v,bin3,t,f,bin0,t,g,bin3,bin0,+
b,bin3,bin2,u,g,w,v,bin0,t,f,bin0,t,g,bin4,bin0,+
b,bin3,bin2,u,g,w,v,bin0,t,f,bin0,t,g,bin3,bin0,+
b,bin3,bin2,u,g,cc,h,bin4,t,f,bin0,t,g,bin0,bin0,+
b,bin1,bin4,y,p,w,v,bin2,t,f,bin0,t,g,bin2,bin0,+
b,bin1,bin0,u,g,cc,v,bin0,t,f,bin0,f,g,bin0,bin0,+
b,bin4,bin0,u,g,i,h,bin4,t,f,bin0,t,g,bin4,bin0,+
b,bin3,bin3,u,g,x,h,bin4,f,f,bin0,t,s,bin4,bin0,+
b,bin4,bin2,u,g,q,h,bin4,t,t,bin0,f,g,bin1,bin0,+
b,bin4,bin4,u,g,m,v,bin2,t,t,bin0,t,g,bin2,bin0,+
b,bin2,bin4,u,g,d,v,bin3,t,t,bin0,f,g,bin3,bin0,+
a,bin1,bin1,y,p,q,v,bin2,t,t,bin0,t,g,bin1,bin0,+
a,bin0,bin1,u,g,q,v,bin3,t,t,bin0,f,g,bin0,bin0,+
b,bin2,bin3,u,g,cc,v,bin4,t,t,bin0,t,g,bin1,bin0,+
b,bin3,bin1,u,g,cc,v,bin3,t,t,bin0,t,g,bin4,bin2,+
a,bin3,bin1,u,g,c,v,bin3,t,t,bin0,f,g,bin0,bin0,+
b,bin2,bin0,u,g,m,v,bin1,t,t,bin0,f,g,bin3,bin0,+
b,bin0,bin3,u,g,w,h,bin2,t,t,bin0,f,g,bin1,bin0,+
b,bin3,bin4,u,g,x,h,bin3,t,t,bin0,t,g,bin4,bin0,+
b,bin3,bin3,u,g,e,bb,bin3,t,f,bin0,t,s,bin4,bin0,-
b,bin3,bin2,u,g,d,bb,bin4,t,f,bin0,t,g,missing,bin0,-
a,bin3,bin3,u,g,cc,v,bin4,t,f,bin0,t,g,bin4,bin0,-
b,bin4,bin0,u,g,m,v,bin4,t,f,bin0,f,s,bin4,bin0,-
b,bin4,bin3,y,p,c,v,bin3,f,f,bin0,f,g,bin2,bin0,-
b,bin0,bin3,u,g,q,v,bin1,t,t,bin0,f,g,bin2,bin0,-
b,bin3,bin3,u,g,aa,v,bin0,t,f,bin0,t,g,bin4,bin0,-
a,bin0,bin0,y,p,aa,v,bin2,t,f,bin0,t,g,bin2,bin0,-
b,bin1,bin1,y,p,k,v,bin3,t,t,bin0,f,g,bin2,bin0,-
b,bin0,bin4,u,g,c,v,bin1,t,f,bin0,f,g,bin2,bin0,-
b,bin4,bin4,u,g,ff,ff,bin0,t,t,bin0,f,g,bin1,bin0,-
a,bin2,bin1,u,g,m,v,bin3,t,f,bin0,f,s,bin4,bin0,-
b,bin3,bin0,u,g,m,v,bin1,t,f,bin0,f,s,bin3,bin0,-
a,missing,bin2,u,g,d,v,bin3,t,f,bin0,t,g,bin3,bin0,-
b,bin2,bin0,u,g,aa,v,bin1,t,f,bin0,t,g,bin2,bin0,-
b,bin3,bin2,u,g,c,bb,bin4,t,f,bin0,t,s,bin3,bin0,-
b,missing,bin0,u,g,d,v,bin2,t,f,bin0,t,s,bin4,bin0,-
b,bin2,bin2,y,p,aa,v,bin4,t,f,bin0,f,g,bin2,bin0,-
b,bin3,bin3,u,g,aa,v,bin2,t,f,bin0,t,g,bin3,bin0,-
a,bin4,bin1,u,g,j,j,bin0,t,f,bin0,t,g,bin1,bin0,-
b,bin4,bin4,y,p,c,h,bin4,t,f,bin0,f,g,bin1,bin0,-
b,bin2,bin4,u,g,c,v,bin1,t,f,bin0,f,g,bin1,bin0,-
b,missing,bin3,y,p,aa,v,bin4,t,f,bin0,f,g,bin0,bin0,-
b,bin4,bin1,y,p,c,h,bin4,t,f,bin0,t,g,bin2,bin0,-
b,bin2,bin1,y,p,c,v,bin2,t,f,bin0,t,g,bin0,bin0,-
a,bin2,bin2,u,g,i,bb,bin1,t,f,bin0,t,g,bin2,bin0,-
b,bin1,bin0,y,p,aa,v,bin0,t,f,bin0,f,g,bin2,bin0,-
b,missing,bin0,u,g,c,bb,bin2,t,f,bin0,t,s,bin4,bin0,-
a,bin1,bin4,y,p,q,v,bin3,t,f,bin0,t,g,bin3,bin0,-
a,bin2,bin1,u,g,q,v,bin2,t,t,bin0,t,g,bin2,bin0,-
b,bin3,bin1,y,p,c,bb,bin1,t,f,bin0,t,g,bin2,bin0,-
b,bin3,bin4,y,p,c,v,bin4,t,f,bin0,f,g,bin1,bin0,-
b,bin0,bin3,u,g,q,v,bin1,t,t,bin0,f,g,bin0,bin0,-
b,bin1,bin4,u,g,k,v,bin3,t,t,bin0,t,g,bin1,bin0,-
b,bin2,bin2,y,p,i,h,bin4,t,t,bin0,t,g,bin1,bin0,-
b,bin4,bin4,u,g,e,z,bin0,t,t,bin1,f,g,bin2,bin0,-
b,bin2,bin1,u,g,k,v,bin1,t,f,bin0,f,s,bin3,bin0,-
a,bin1,bin4,y,p,aa,v,bin4,t,f,bin0,f,g,bin1,bin0,-
b,bin4,bin2,y,p,x,h,bin4,t,f,bin0,t,g,bin2,bin0,-
a,bin0,bin0,u,g,c,v,bin2,t,t,bin0,t,g,bin2,bin0,-
b,bin2,bin2,u,g,w,v,bin3,t,t,bin0,t,g,bin4,bin0,-
a,bin1,bin1,y,p,ff,ff,bin1,t,t,bin0,f,g,bin2,bin0,-
b,bin1,bin4,u,g,w,v,bin2,t,f,bin0,t,g,bin3,bin0,-
a,bin3,bin0,u,g,k,bb,bin2,t,t,bin0,t,g,bin3,bin0,-
b,bin0,bin1,y,p,c,h,bin2,t,t,bin0,t,g,bin2,bin0,-
a,bin1,bin1,u,g,q,v,bin2,t,t,bin0,f,g,bin2,bin0,-
b,bin3,bin3,u,g,q,h,bin4,t,t,bin0,t,g,bin3,bin0,-
b,bin4,bin3,u,g,k,v,bin4,t,t,bin1,f,g,bin0,bin0,+
b,bin4,bin3,u,g,m,v,bin4,t,t,bin0,t,g,bin4,bin0,+
a,bin0,bin4,u,g,cc,h,bin1,t,t,bin0,t,g,bin1,bin0,+
b,bin3,bin3,u,g,q,v,bin0,t,t,bin0,f,g,bin2,bin0,+
b,bin2,bin4,u,g,cc,v,bin2,t,t,bin4,t,g,bin2,bin0,+
a,bin1,bin4,u,g,aa,v,bin2,t,t,bin0,t,g,bin1,bin0,+
a,bin4,bin3,u,g,q,v,bin4,t,t,bin0,t,g,bin0,bin0,+
a,bin1,bin3,u,g,q,v,bin4,t,t,bin0,t,g,bin1,bin0,+
b,bin3,bin3,u,g,x,h,bin4,t,t,bin0,t,g,bin0,bin0,+
b,bin4,bin2,u,g,m,bb,bin3,t,t,bin0,t,g,bin4,bin0,+
b,bin1,bin4,u,g,q,v,bin3,t,t,bin0,t,g,bin1,bin0,+
b,bin3,bin3,u,g,i,bb,bin3,t,t,bin0,f,g,bin3,bin0,+
a,bin2,bin2,u,g,w,v,bin2,t,f,bin0,f,s,bin3,bin0,+
b,bin4,bin3,u,g,e,z,bin4,t,t,bin0,t,g,bin0,bin0,+
b,bin0,bin1,u,g,c,v,bin3,t,t,bin0,f,g,bin1,bin0,+
a,bin4,bin3,u,g,e,bb,bin4,t,t,bin0,f,g,bin4,bin2,+
b,bin3,bin3,u,g,c,bb,bin3,t,t,bin0,f,g,bin0,bin0,+
b,bin3,bin3,u,g,q,h,bin4,t,t,bin0,t,g,bin4,bin0,+
b,bin4,bin3,u,g,q,h,bin4,t,f,bin0,t,g,bin4,bin0,+
b,bin3,bin0,y,p,aa,v,bin1,t,t,bin0,f,g,bin2,bin0,+
b,bin3,bin2,u,g,m,v,bin4,t,t,bin0,f,g,bin3,bin0,+
a,bin0,bin4,u,g,w,v,bin3,t,t,bin0,t,g,bin1,bin0,+
a,bin2,bin4,u,g,q,h,bin4,t,t,bin0,f,g,bin0,bin0,+
a,bin2,bin2,u,g,cc,h,bin2,t,t,bin0,t,g,bin2,bin0,+
a,bin4,bin4,u,g,j,ff,bin0,t,t,bin1,f,g,bin0,bin0,+
b,bin4,bin0,y,p,cc,h,bin3,t,t,bin0,f,g,bin1,bin0,+
b,bin1,bin4,u,g,w,v,bin3,t,t,bin0,f,g,bin1,bin0,+
b,bin2,bin1,u,g,cc,h,bin4,t,t,bin0,f,g,bin4,bin0,+
b,bin3,bin2,u,g,cc,h,bin3,t,t,bin0,f,g,bin2,bin0,+
b,bin1,bin1,u,g,q,v,bin3,t,t,bin0,t,g,bin0,bin0,+
a,bin3,bin3,y,p,q,h,bin4,t,t,bin1,f,g,bin0,bin0,+
a,bin2,bin3,u,g,c,bb,bin4,t,t,bin0,t,g,bin0,bin0,+
a,bin4,bin4,u,g,c,v,bin4,t,t,bin1,f,g,bin0,bin0,+
a,bin4,bin0,u,g,cc,h,bin1,t,t,bin0,t,g,bin4,bin0,+
a,bin4,bin4,u,g,q,v,bin4,t,t,bin1,f,g,bin0,bin0,+
b,bin3,bin3,u,g,m,h,bin4,t,t,bin0,t,g,bin1,bin0,+
b,bin1,bin2,u,g,c,v,bin2,t,t,bin0,t,g,bin1,bin0,+
b,bin3,bin1,u,g,cc,h,bin4,t,t,bin0,t,g,bin0,bin0,+
a,bin1,bin4,y,p,j,j,bin0,t,t,bin0,t,g,bin0,bin0,+
a,bin2,bin2,y,p,x,h,bin3,t,t,bin0,f,g,bin1,bin0,+
a,bin4,bin4,u,g,e,z,bin0,t,t,bin1,f,g,bin0,bin0,+
b,bin2,bin2,u,g,k,h,bin4,t,t,bin0,t,g,bin2,bin0,+
b,bin3,bin0,y,p,m,bb,bin0,t,t,bin0,t,g,bin3,bin0,+
b,bin2,bin2,u,g,x,h,bin2,t,t,bin0,f,g,bin2,bin0,+
b,bin4,bin2,u,g,m,v,bin3,t,t,bin0,t,g,bin0,bin0,+
b,bin1,bin1,u,g,x,v,bin3,t,t,bin0,t,g,bin4,bin0,+
b,bin2,bin1,y,p,e,h,bin0,t,f,bin0,t,g,bin4,bin0,+
a,bin4,bin4,u,g,q,v,bin4,t,f,bin0,t,g,bin0,bin0,+
a,bin4,bin4,u,g,q,h,bin3,t,f,bin0,f,g,bin1,bin0,+
b,bin0,bin4,u,g,q,v,bin2,t,f,bin0,t,g,bin1,bin0,+
a,bin3,bin0,u,g,cc,v,bin0,t,f,bin0,f,g,bin4,bin0,+
b,bin3,bin2,u,g,q,h,bin4,t,f,bin0,t,g,bin1,bin0,+
b,bin3,bin1,y,p,d,v,bin2,f,f,bin0,t,g,bin4,bin0,+
a,bin1,bin2,y,p,aa,v,bin1,t,f,bin0,t,g,bin4,bin0,+
b,bin4,bin0,u,g,c,bb,bin4,t,f,bin0,f,g,bin0,bin0,+
b,bin4,bin4,u,g,k,h,bin4,t,f,bin0,t,g,bin1,bin0,+
a,bin4,bin4,u,g,k,h,bin4,t,f,bin0,t,g,bin0,bin0,+
b,bin1,bin4,u,g,q,h,bin2,t,f,bin0,f,g,bin1,bin0,+
b,bin2,bin1,y,p,w,v,bin1,t,f,bin0,t,g,bin3,bin0,+
b,bin1,bin4,u,g,aa,v,bin3,t,f,bin0,t,s,bin0,bin0,+
a,bin2,bin3,u,g,aa,v,bin2,t,f,bin0,f,g,bin2,bin0,+
a,bin0,bin3,u,g,q,v,bin2,t,t,bin0,f,g,bin1,bin0,+
b,bin0,bin3,u,g,aa,v,bin3,t,t,bin1,f,g,bin1,bin0,+
b,bin4,bin0,u,g,c,bb,bin4,t,t,bin1,f,g,bin0,bin0,+
a,bin0,bin2,u,g,i,bb,bin1,t,t,bin0,f,s,bin1,bin0,+
a,bin0,bin2,u,g,q,v,bin1,t,t,bin0,f,g,bin1,bin0,+
a,bin4,bin4,u,g,c,v,bin4,t,t,bin0,f,g,bin0,bin0,+
a,bin1,bin3,u,g,q,v,bin3,t,t,bin0,f,g,bin2,bin0,+
b,bin4,bin3,u,g,c,h,bin4,t,t,bin0,f,g,bin2,bin0,+
b,bin3,bin3,u,g,aa,bb,bin3,t,t,bin0,f,g,bin0,bin0,+
b,bin3,bin3,u,g,c,v,bin4,t,t,bin0,f,g,bin0,bin0,+
a,bin2,bin1,u,g,c,v,bin3,t,t,bin0,t,g,bin3,bin0,+
a,bin3,bin3,u,g,q,h,bin3,t,t,bin0,f,g,bin0,bin0,+
b,bin0,bin4,u,g,c,v,bin3,t,f,bin0,t,g,bin0,bin0,+
b,bin4,bin0,u,g,i,h,bin4,t,f,bin0,f,g,bin4,bin0,+
b,bin4,bin1,u,g,x,v,bin3,t,f,bin0,f,g,bin4,bin0,+
b,bin1,bin1,y,p,w,v,bin3,t,t,bin0,f,g,bin1,bin0,+
b,bin3,bin3,y,p,i,bb,bin4,t,t,bin0,t,g,bin2,bin0,+
b,bin2,bin3,y,p,c,bb,bin2,t,t,bin0,t,g,bin2,bin0,+
b,bin3,bin2,y,p,x,v,bin3,t,t,bin0,t,g,bin4,bin0,+
b,bin4,bin3,u,g,w,h,bin4,t,t,bin0,f,g,bin0,bin0,+
b,bin2,bin2,y,p,aa,v,bin3,t,t,bin0,t,g,bin4,bin0,+
b,bin1,bin4,u,g,x,v,bin0,t,t,bin0,f,g,bin1,bin0,+
a,bin1,bin0,u,g,q,h,bin2,t,t,bin0,f,g,bin0,bin0,+
a,bin4,bin1,u,g,i,bb,bin3,t,f,bin0,t,g,bin0,bin0,+
b,bin1,bin2,u,g,c,v,bin3,t,t,bin0,f,g,missing,bin0,+
a,bin0,bin4,u,g,q,v,bin2,t,t,bin0,t,g,bin1,bin0,+
b,bin3,bin2,y,p,w,v,bin0,t,t,bin0,f,g,bin1,bin0,+
a,bin3,bin4,u,g,q,h,bin4,t,t,bin0,f,g,bin0,bin0,+
a,bin4,bin0,missing,missing,missing,missing,bin0,f,f,bin0,f,p,missing,bin0,+
b,bin2,bin3,u,g,q,h,bin4,t,t,bin0,f,g,bin4,bin0,+
b,bin3,bin2,u,g,k,v,bin4,t,t,bin0,f,g,bin2,bin0,+
b,bin3,bin3,u,g,c,bb,bin4,t,t,bin1,f,g,bin1,bin0,+
b,bin3,bin3,u,g,cc,h,bin4,t,t,bin1,t,g,bin4,bin0,+
b,bin1,bin3,y,p,d,v,bin4,t,f,bin0,t,s,bin1,bin0,+
b,bin4,bin4,u,g,ff,ff,bin4,t,t,bin1,t,g,bin0,bin0,+
b,bin1,bin4,u,g,i,v,bin3,t,t,bin0,f,g,bin1,bin0,+
b,bin2,bin2,y,p,cc,v,bin4,t,t,bin0,f,g,bin3,bin0,+
b,bin4,bin2,u,g,aa,v,bin3,t,f,bin0,f,s,bin3,bin0,+
b,bin4,bin3,u,g,cc,h,bin4,t,t,bin0,f,g,bin4,bin0,+
b,bin4,bin4,u,g,ff,ff,bin4,t,t,bin0,f,g,bin0,bin0,+
b,bin4,bin4,u,g,e,v,bin4,t,t,bin0,f,g,bin0,bin0,+
a,bin0,bin3,y,p,c,v,bin2,t,t,bin0,t,g,bin1,bin0,+
a,bin4,bin4,u,g,aa,v,bin3,t,t,bin0,t,g,bin2,bin0,+
b,bin4,bin4,u,g,e,z,bin4,t,t,bin0,t,g,bin1,bin0,+
a,bin0,bin3,u,g,aa,v,bin2,t,f,bin0,t,g,bin0,bin0,+
a,bin0,bin4,u,g,aa,v,bin0,t,f,bin0,f,g,bin1,bin0,+
a,bin3,bin3,u,g,q,v,bin0,t,f,bin0,t,g,bin3,bin0,+
b,bin1,bin2,u,g,c,bb,bin1,t,f,bin0,t,g,bin2,bin0,+
b,bin0,bin3,u,g,k,v,bin1,t,f,bin0,f,g,bin1,bin0,+
a,bin1,bin3,y,p,x,v,bin3,f,f,bin0,f,g,bin2,bin0,+
b,bin0,bin0,u,g,q,v,bin3,t,t,bin0,t,g,bin1,bin0,+
b,bin1,bin4,u,g,cc,v,bin2,t,f,bin0,f,g,bin1,bin0,+
b,bin1,bin2,u,g,cc,v,bin2,t,t,bin0,f,g,bin0,bin0,+
a,bin4,bin2,u,g,x,v,bin4,t,t,bin0,t,g,bin4,bin0,+
b,bin3,bin1,u,g,x,h,bin4,t,t,bin0,t,g,bin3,bin0,+
b,bin2,bin4,u,g,w,v,bin4,t,f,bin0,t,g,bin4,bin0,+
a,bin4,bin4,u,g,i,bb,bin4,t,t,bin0,f,g,bin0,bin0,+
a,bin0,bin1,u,g,q,v,bin3,t,t,bin0,f,g,bin3,bin0,+
b,bin2,bin0,u,g,i,bb,bin0,t,f,bin0,t,g,bin0,bin0,+
b,bin0,bin3,u,g,aa,v,bin2,t,t,bin0,f,g,bin1,bin0,+
b,bin4,bin3,u,g,q,v,bin4,t,f,bin0,f,s,bin0,bin0,+
b,bin3,bin4,u,g,x,v,bin3,t,t,bin0,f,g,bin4,bin0,+
b,bin0,bin4,y,p,c,v,bin3,t,f,bin0,f,s,bin1,bin0,+
b,bin4,bin4,u,g,w,v,bin3,t,t,bin0,f,g,bin1,bin0,+
b,bin2,bin3,u,g,w,v,bin4,t,f,bin0,t,g,bin1,bin0,+
a,bin0,bin3,u,g,q,v,bin3,t,t,bin0,f,g,missing,bin1,+
b,bin0,bin2,u,g,i,v,bin2,t,t,bin0,f,g,bin1,bin0,+
b,bin3,bin2,y,p,c,h,bin3,t,t,bin0,t,g,bin2,bin0,+
b,bin4,bin3,u,g,cc,h,bin4,t,t,bin0,t,g,bin1,bin0,+
a,bin0,bin0,u,g,q,h,bin1,t,t,bin0,f,g,bin1,bin0,+
missing,bin1,bin4,u,g,c,bb,bin4,t,t,bin0,f,g,bin1,bin0,+
b,bin1,bin4,u,g,x,v,bin1,t,t,bin0,f,g,bin2,bin0,+
b,bin3,bin4,u,g,e,z,bin4,t,t,bin0,f,g,bin0,bin0,+
b,bin4,bin3,u,g,q,h,bin4,t,t,bin0,t,g,bin4,bin0,+
a,bin0,bin4,u,g,x,h,bin2,t,t,bin0,f,g,bin0,bin0,+
b,bin1,bin4,u,g,x,h,bin1,t,t,bin0,f,g,bin1,bin0,+
b,missing,bin0,u,g,k,v,bin1,f,f,bin0,f,g,bin4,bin0,-
b,bin0,bin4,u,g,c,h,bin2,f,f,bin0,f,g,bin4,bin0,-
b,bin0,bin4,u,g,c,v,bin3,f,f,bin0,t,g,bin2,bin0,-
b,bin0,bin0,u,g,d,v,bin1,f,f,bin0,f,g,bin2,bin0,-
a,bin0,bin4,u,g,i,v,bin0,f,f,bin0,f,g,bin2,bin0,-
a,bin1,bin1,y,p,c,v,bin1,f,f,bin0,f,g,bin2,bin0,-
b,bin3,bin2,u,g,d,h,bin4,f,f,bin0,t,g,bin3,bin0,-
a,bin4,bin0,y,p,ff,ff,bin0,f,f,bin0,f,g,bin0,bin0,-
a,bin4,bin1,u,g,i,o,bin1,f,f,bin0,f,g,bin0,bin0,-
a,bin0,bin4,y,p,x,h,bin0,f,f,bin0,t,g,bin2,bin0,-
b,bin4,bin0,u,g,ff,ff,bin0,f,f,bin0,f,g,bin2,bin0,-
b,bin0,bin0,y,p,c,v,bin0,f,f,bin0,f,g,bin2,bin0,-
b,bin0,bin1,y,p,e,dd,bin0,f,f,bin0,f,g,bin1,bin0,-
a,bin2,bin3,u,g,d,v,bin2,f,f,bin0,f,g,bin3,bin0,-
b,bin4,bin1,u,g,q,v,bin0,t,f,bin0,t,g,bin3,bin0,+
b,bin0,bin0,u,g,q,n,bin1,f,f,bin0,f,g,bin2,bin0,+
b,bin3,bin0,missing,missing,missing,missing,bin0,f,f,bin0,f,p,missing,bin0,+
b,bin3,bin2,u,g,c,v,bin2,f,f,bin0,t,g,bin3,bin0,-
b,bin0,bin3,y,p,m,v,bin0,f,f,bin0,f,g,bin2,bin0,-
b,bin3,bin4,y,p,k,v,bin0,f,f,bin0,f,g,bin2,bin0,-
b,bin2,bin2,u,g,cc,h,bin3,f,f,bin0,t,s,bin4,bin0,-
b,bin0,bin3,u,g,d,v,bin2,f,f,bin0,f,g,bin1,bin0,-
a,bin0,bin3,u,g,i,h,bin1,f,f,bin0,f,g,bin1,bin0,-
a,bin0,bin4,y,p,q,h,bin1,f,f,bin0,f,g,bin4,bin0,-
b,bin1,bin4,y,p,ff,ff,bin0,f,f,bin0,f,g,missing,bin0,-
b,bin0,bin1,u,g,m,v,bin0,t,f,bin0,f,s,bin2,bin0,-
b,bin0,bin1,y,p,c,h,bin1,f,f,bin0,f,g,bin3,bin0,-
b,bin1,bin0,y,p,cc,h,bin0,f,f,bin0,f,g,bin3,bin0,-
b,bin0,bin3,u,g,c,v,bin1,f,f,bin0,f,s,bin1,bin0,-
a,bin0,bin1,u,g,q,v,bin1,f,t,bin0,f,g,bin1,bin0,-
b,bin1,bin4,u,g,c,v,bin0,f,t,bin0,f,g,bin0,bin0,-
b,bin0,bin4,u,g,w,h,bin1,f,t,bin0,f,g,bin1,bin0,-
a,missing,bin1,u,g,ff,ff,bin0,f,t,bin0,t,g,bin2,bin0,-
b,bin2,bin0,u,g,w,v,bin1,f,t,bin0,f,g,bin4,bin0,-
b,bin0,bin0,y,p,c,v,bin1,f,t,bin0,f,g,bin2,bin0,-
a,bin1,bin1,y,p,j,j,bin0,f,f,bin0,f,g,bin2,bin0,-
b,bin1,bin0,u,g,m,v,bin1,f,f,bin0,t,s,bin4,bin0,-
a,bin0,bin4,u,g,w,v,bin2,f,t,bin0,f,g,bin1,bin0,-
b,bin1,bin0,u,g,w,v,bin1,f,t,bin0,f,g,bin3,bin0,-
b,bin3,bin2,u,g,w,v,bin0,f,t,bin0,f,g,bin3,bin0,-
a,bin0,bin0,u,g,ff,ff,bin0,f,t,bin0,f,g,bin2,bin0,-
a,bin2,bin2,u,g,ff,ff,bin3,f,t,bin0,t,g,bin2,bin0,-
b,bin4,bin3,u,g,ff,ff,bin4,f,t,bin0,f,g,bin1,bin0,-
b,bin3,bin2,u,g,aa,v,bin3,f,t,bin0,t,g,bin4,bin0,-
b,bin0,bin2,u,g,aa,v,bin2,f,t,bin0,f,g,bin1,bin0,-
b,bin1,bin4,u,g,c,v,bin3,f,t,bin0,t,g,bin2,bin0,-
a,bin4,bin2,u,g,ff,ff,bin4,f,t,bin0,f,g,bin0,bin0,-
b,bin0,bin0,u,g,d,v,bin1,f,f,bin0,t,s,bin3,bin0,-
b,bin1,bin1,u,g,c,v,bin1,f,f,bin0,t,s,bin3,bin0,-
a,bin0,bin2,u,g,q,v,bin0,f,f,bin0,f,g,bin1,bin0,-
a,bin1,bin4,u,g,q,h,bin2,f,f,bin0,f,g,bin3,bin0,-
b,bin4,bin4,y,p,ff,ff,bin0,t,f,bin0,t,g,bin0,bin0,-
b,bin1,bin2,u,g,ff,ff,bin4,f,f,bin0,f,g,bin2,bin0,-
b,bin0,bin4,u,g,ff,ff,bin1,f,f,bin0,f,g,bin1,bin0,-
b,bin2,bin1,u,g,k,h,bin1,f,f,bin0,t,s,bin2,bin0,-
a,bin2,bin2,y,p,j,j,bin0,f,f,bin0,f,g,bin2,bin0,-
a,bin1,bin3,u,g,w,v,bin2,f,f,bin0,t,g,bin4,bin0,-
b,bin0,bin1,y,p,c,v,bin3,f,f,bin0,t,g,bin1,bin0,-
a,bin0,bin0,u,g,aa,v,bin0,f,f,bin0,f,g,bin2,bin0,-
